Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
The LEGO Movie Videogame,3DS,2014,Action,Warner Bros. Interactive Entertainment,0.28,0.31,0.05,0.05,0.69,,,5.4,13,TT Games,Everyone 10+
MotionSports,X360,2010,Sports,Ubisoft,0.38,0.25,0.0,0.06,0.69,40.0,30,4.4,9,Ubisoft Milan,Teen
MX vs. ATV Unleashed: On the Edge,PSP,2006,Racing,THQ,0.64,0.0,0.0,0.05,0.69,68.0,22,8.1,7,Rainbow Studios,Everyone
Mario Pinball Land,GBA,2004,Misc,Nintendo,0.5,0.18,0.0,0.01,0.69,62.0,35,4.9,11,Fuse Games Limited,Everyone
Mappy,NES,1984,Platform,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69,,,,,Unknown,Unknown
J-League Soccer: Prime Goal,SNES,1993,Sports,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69,,,,,Unknown,Unknown
Dragon Ball Z: Budokai,GC,2003,Fighting,Atari,0.53,0.14,0.0,0.02,0.69,65.0,16,6.3,15,Pyramid,Teen
NFL Xtreme,PS,1998,Sports,Sony Computer Entertainment,0.38,0.26,0.0,0.05,0.69,,,,,Unknown,Unknown
Need for Speed (2015),XOne,2015,Racing,Electronic Arts,0.3,0.33,0.0,0.06,0.69,,,,,Unknown,Unknown
Plants vs. Zombies: Garden Warfare,XOne,2014,Shooter,Electronic Arts,0.39,0.23,0.0,0.06,0.69,76.0,65,7.4,438,PopCap,Everyone 10+
Need for Speed Rivals,XOne,2013,Racing,Electronic Arts,0.46,0.17,0.0,0.07,0.69,75.0,18,5.8,175,Ghost Games,Everyone 10+
The Sims 2: Apartment Pets,DS,2008,Simulation,Electronic Arts,0.31,0.3,0.0,0.07,0.69,50.0,12,3.3,4,Full Fat,Everyone
Harry Potter and the Chamber of Secrets,GC,2002,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,77.0,14,8.3,27,Eurocom Entertainment Software,Everyone
Prince of Persia: The Forgotten Sands,PS3,2010,Action,Ubisoft,0.19,0.36,0.01,0.12,0.69,75.0,49,7.6,120,Ubisoft Montreal,Teen
X-Men Origins: Wolverine - Uncaged Edition,X360,2009,Action,Activision,0.42,0.21,0.0,0.06,0.69,,,,,Unknown,Unknown
The Lord of the Rings: The Return of the King,GC,2003,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,84.0,23,8.5,21,Hypnos Entertainment,Teen
The Sims: Medieval,PC,2011,Simulation,Electronic Arts,0.28,0.32,0.0,0.09,0.69,77.0,56,6.1,173,The Sims Studio,Teen
LEGO Batman 2: DC Super Heroes,DS,2012,Action,Warner Bros. Interactive Entertainment,0.39,0.24,0.0,0.06,0.69,,,8.0,4,TT Games,Everyone 10+
Top Spin 4,PS3,2011,Sports,Take-Two Interactive,0.17,0.39,0.0,0.13,0.69,82.0,37,7.7,55,2K Czech,Everyone
Shrek the Third,X360,2007,Action,Activision,0.54,0.09,0.0,0.06,0.68,,,,,Unknown,Unknown
Baldur's Gate: Dark Alliance II,PS2,2004,Role-Playing,Interplay,0.34,0.26,0.0,0.09,0.68,78.0,44,8.7,54,Black Isle Studios,Teen
Shark Tale,GBA,2004,Action,Activision,0.49,0.18,0.0,0.01,0.68,63.0,8,9.0,4,Vicarious Visions,Everyone
IL-2 Sturmovik: Birds of Prey,PS3,2009,Simulation,505 Games,0.34,0.25,0.0,0.1,0.68,81.0,28,7.3,20,Gaijin Entertainment,Teen
Test Drive Unlimited 2,X360,,Racing,Atari,0.3,0.31,0.0,0.07,0.68,68.0,61,6.4,87,Eden,Teen
Star Wars: Masters of Teras Kasi,PS,1997,Action,LucasArts,0.38,0.26,0.0,0.04,0.68,,,,,Unknown,Unknown
World of Zoo,DS,2009,Simulation,THQ,0.42,0.2,0.0,0.06,0.68,,,,,Blue Fang Games,Everyone
NBA Street Vol. 2,XB,2003,Sports,Electronic Arts,0.62,0.04,0.0,0.02,0.68,89.0,22,8.8,24,Electronic Arts,Everyone
Minecraft,WiiU,2016,Misc,Microsoft Game Studios,0.28,0.17,0.18,0.04,0.68,,,,,Unknown,Unknown
MX vs. ATV Untamed,X360,2007,Racing,THQ,0.55,0.08,0.0,0.06,0.68,70.0,43,7.1,17,Rainbow Studios,Everyone
The Last Remnant,X360,2008,Role-Playing,Square Enix,0.25,0.2,0.18,0.06,0.68,66.0,49,6.9,122,Square Enix,Mature
NCAA Football 2005,XB,2004,Sports,Electronic Arts,0.63,0.02,0.0,0.03,0.68,89.0,29,8.0,12,EA Sports,Everyone
Mortal Kombat Mythologies: Sub-Zero,PS,1997,Fighting,GT Interactive,0.38,0.26,0.0,0.04,0.68,,,,,Unknown,Unknown
The Sly Collection,PS3,2010,Platform,Sony Computer Entertainment,0.52,0.08,0.01,0.08,0.68,85.0,46,8.8,172,Sanzaru Games,Everyone 10+
Naruto: Clash of Ninja,GC,2003,Fighting,Tomy Corporation,0.53,0.14,0.0,0.02,0.68,72.0,21,8.1,20,Tomy Corporation,Teen
Sniper Elite 3,PS4,2014,Shooter,505 Games,0.24,0.34,0.0,0.11,0.68,67.0,41,7.1,178,Rebellion,Mature
Prince of Persia: The Two Thrones,PS2,2005,Action,Ubisoft,0.57,0.02,0.0,0.09,0.68,85.0,46,8.5,111,Ubisoft Montreal,Mature
Hot Shots Golf: Open Tee 2,PSP,2007,Sports,Sony Computer Entertainment,0.21,0.11,0.28,0.08,0.68,82.0,42,8.6,12,Clap Hanz,Everyone
Mercenaries: Playground of Destruction,XB,2005,Action,LucasArts,0.54,0.11,0.0,0.03,0.68,,,,,Unknown,Unknown
Bushido Blade 2,PS,1998,Fighting,SquareSoft,0.25,0.17,0.22,0.04,0.68,,,,,Unknown,Unknown
Suikoden II,PS,1998,Role-Playing,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68,82.0,8,8.4,162,Konami,Teen
Iron Man,PS3,2008,Action,Sega,0.32,0.25,0.0,0.11,0.68,42.0,27,6.2,45,Secret Level,Teen
FIFA Soccer 06,XB,2005,Sports,Electronic Arts,0.29,0.38,0.0,0.01,0.68,80.0,39,7.5,22,EA Canada,Everyone
Fight Night 2004,XB,2004,Fighting,Electronic Arts,0.51,0.15,0.0,0.02,0.68,85.0,47,8.7,20,EA Sports,Teen
Tourist Trophy: The Real Riding Simulator,PS2,2006,Racing,Sony Computer Entertainment,0.28,0.22,0.11,0.07,0.68,,,,,Unknown,Unknown
.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,76.0,24,8.9,81,CyberConnect2,Teen
Wolfenstein: The New Order,XOne,2014,Shooter,Bethesda Softworks,0.34,0.28,0.0,0.06,0.68,79.0,18,7.8,397,MachineGames,Mature
Cars: Mater-National Championship,DS,2007,Racing,THQ,0.63,0.0,0.0,0.05,0.68,69.0,7,6.8,5,Rainbow Studios,Everyone
LEGO Harry Potter: Years 1-4,PSP,2010,Action,Warner Bros. Interactive Entertainment,0.14,0.36,0.0,0.18,0.68,71.0,4,,,TT Fusion,Everyone 10+
Midway Arcade Treasures 2,PS2,2004,Misc,Midway Games,0.33,0.26,0.0,0.09,0.68,74.0,28,,,Backbone Entertainment,Mature
Kirby's Dream Collection: Special Edition,Wii,2012,Action,Nintendo,0.33,0.0,0.33,0.02,0.67,82.0,6,8.8,37,HAL Labs,Everyone 10+
Return to Castle Wolfenstein: Tides of War,XB,2003,Shooter,Activision,0.49,0.16,0.0,0.02,0.67,84.0,38,8.8,33,Nerve Software,Mature
RIFT,PC,2011,Role-Playing,Unknown,0.44,0.16,0.0,0.07,0.67,84.0,59,7.3,561,Trion Worlds,Teen
Spider-Man 3,PS3,2007,Platform,Activision,0.26,0.29,0.02,0.11,0.67,60.0,33,7.0,40,Treyarch,Teen
Street Sk8er,PS,1998,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.67,,,,,Unknown,Unknown
Mass Effect,PC,2008,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.08,0.67,89.0,45,8.6,2386,"BioWare, Demiurge Studios",Mature
Contra: Legacy of War,PS,1996,Shooter,Konami Digital Entertainment,0.37,0.25,0.0,0.04,0.67,,,,,Unknown,Unknown
Fight Night Round 2004,XB,2004,Fighting,Electronic Arts,0.46,0.18,0.0,0.03,0.67,,,,,Unknown,Unknown
Book of Spells,PS3,2012,Action,Sony Computer Entertainment,0.14,0.39,0.0,0.15,0.67,,,,,Unknown,Unknown
Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,DS,2006,Misc,Rocket Company,0.0,0.0,0.67,0.0,0.67,,,,,Unknown,Unknown
Spice World,PS,1998,Action,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.67,,,,,Unknown,Unknown
The Evil Within,XOne,2014,Action,Bethesda Softworks,0.35,0.25,0.0,0.06,0.67,79.0,24,7.3,430,Tango Gameworks,Mature
Armored Core 3,PS2,2002,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67,74.0,23,9.0,33,From Software,Teen
Star Wars: Republic Commando,XB,2005,Shooter,Activision,0.48,0.17,0.0,0.02,0.67,78.0,54,8.9,89,LucasArts,Teen
Taiko no Tatsujin Wii,Wii,2008,Misc,Namco Bandai Games,0.0,0.0,0.67,0.0,0.67,,,,,Unknown,Unknown
London 2012: The Official Video Game of the Olympic Games,PS3,2012,Sports,Sega,0.06,0.48,0.0,0.14,0.67,,,,,Unknown,Unknown
The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,71.0,31,7.1,98,TT Games,Everyone 10+
Turok,PS3,2008,Action,Touchstone,0.35,0.21,0.01,0.1,0.67,67.0,38,6.0,39,Propaganda Games,Mature
Wild ARMs 2,PS,1999,Role-Playing,Sony Computer Entertainment,0.19,0.13,0.31,0.04,0.67,,,,,Unknown,Unknown
Terraria,X360,2013,Action,505 Games,0.35,0.27,0.0,0.06,0.67,81.0,39,7.2,139,Engine Software,Teen
Red Steel,Wii,2006,Shooter,Ubisoft,0.54,0.03,0.04,0.05,0.67,63.0,54,6.8,121,Ubisoft Paris,Teen
Summer Sports: Paradise Island (Others sales),Wii,2008,Sports,Ubisoft,0.0,0.66,0.0,0.01,0.67,,,,,Unknown,Unknown
Need for Speed: Shift 2 Unleashed,PS3,2011,Racing,Electronic Arts,0.2,0.35,0.0,0.12,0.67,,,,,Unknown,Unknown
The Fairly Odd Parents: Breakin Da Rules,PS2,2003,Platform,THQ,0.33,0.25,0.0,0.09,0.67,,,,,Unknown,Unknown
Virtua Tennis: World Tour (US & Others sales),PSP,2005,Sports,Sega,0.16,0.36,0.0,0.14,0.67,,,,,Unknown,Unknown
Unreal Tournament III,PS3,2007,Shooter,Midway Games,0.33,0.23,0.0,0.1,0.67,86.0,42,7.7,127,Epic Games,Mature
Adventures of Tron,2600,1981,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67,,,,,Unknown,Unknown
Fossil Fighters: Champions,DS,2010,Role-Playing,Nintendo,0.31,0.0,0.34,0.02,0.67,68.0,8,7.1,11,"RED Entertainment, Artdink",Everyone
The Sims 3,DS,2010,Simulation,Electronic Arts,0.38,0.22,0.0,0.06,0.67,73.0,9,6.4,20,Exient Entertainment,Everyone
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,,Action,Disney Interactive Studios,0.48,0.18,0.0,0.01,0.67,66.0,7,6.8,5,Amaze Entertainment,Everyone
Disney Tangled,Wii,2010,Action,Disney Interactive Studios,0.46,0.16,0.0,0.05,0.67,,,,,Unknown,Unknown
Command & Conquer: Red Alert 3,PC,2008,Strategy,Electronic Arts,0.01,0.64,0.0,0.02,0.67,,,,,Unknown,Unknown
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,DS,2006,Misc,IE Institute,0.0,0.0,0.66,0.0,0.66,,,,,Unknown,Unknown
Pro Pinball: Big Race USA,PS,1999,Simulation,Take-Two Interactive,0.37,0.25,0.0,0.04,0.66,69.0,4,,,Cunning Developments,Everyone
NFL Street,XB,2004,Sports,Electronic Arts,0.49,0.15,0.0,0.02,0.66,81.0,38,8.8,9,EA Tiburon,Everyone
Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007,Role-Playing,Square Enix,0.22,0.01,0.42,0.02,0.66,77.0,41,7.2,25,Square Enix,Everyone 10+
Bakugan: Battle Brawlers,Wii,2009,Action,Activision,0.59,0.03,0.0,0.05,0.66,62.0,12,7.2,11,Now Production,Everyone
Blazing Angels: Squadrons of WWII,PS3,2006,Simulation,Ubisoft,0.35,0.22,0.0,0.1,0.66,67.0,26,6.9,9,Ubisoft,Teen
WWE SmackDown vs. RAW 2007,PSP,2006,Fighting,THQ,0.33,0.2,0.0,0.14,0.66,78.0,13,8.1,21,Yuke's,Teen
Skylanders: Trap Team,PS3,2014,Action,Activision,0.26,0.3,0.0,0.11,0.66,,,7.0,5,Toys for Bob,Everyone 10+
F1 2015,PS4,2015,Racing,Codemasters,0.09,0.45,0.03,0.1,0.66,65.0,46,6.3,43,Codemasters,Everyone
Tony Hawk's Proving Ground,PS2,2007,Sports,Activision,0.55,0.02,0.0,0.09,0.66,65.0,6,6.6,17,Page 44 Studios,Teen
The Darkness,PS3,2007,Shooter,Take-Two Interactive,0.2,0.33,0.0,0.13,0.66,80.0,35,7.7,107,Starbreeze,Mature
Country Dance,Wii,2011,Misc,Funbox Media,0.58,0.04,0.0,0.05,0.66,,,,,High Voltage Software,Everyone 10+
MLB 2004,PS2,2003,Sports,Sony Computer Entertainment,0.32,0.25,0.0,0.08,0.66,61.0,21,7.9,9,989 Sports,Everyone
Naruto Shippuden: Ultimate Ninja 4,PS2,2007,Fighting,Atari,0.26,0.01,0.13,0.26,0.66,,,,,Unknown,Unknown
The Sims 3: High-End Loft Stuff,PC,2010,Simulation,Electronic Arts,0.01,0.54,0.0,0.11,0.66,,,6.5,17,The Sims Studio,Teen
Tiger Woods PGA Tour 2000,PS,1998,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.66,,,,,Unknown,Unknown
Darkstone,PS,2001,Role-Playing,Electronic Arts,0.37,0.25,0.0,0.04,0.66,58.0,10,8.3,12,Delphine Software International,Teen
NCAA March Madness 2003,PS2,2002,Sports,Electronic Arts,0.32,0.25,0.0,0.08,0.66,74.0,13,8.0,27,NuFX,Everyone
Diablo III,XOne,2014,Role-Playing,Activision,0.36,0.24,0.0,0.06,0.66,,,,,Unknown,Unknown
Finding Nemo,XB,2003,Action,THQ,0.48,0.16,0.0,0.02,0.66,63.0,11,,,Traveller's Tales,Everyone
Thrillville,PS2,2006,Strategy,Atari,0.55,0.02,0.0,0.09,0.66,69.0,32,2.9,52,Frontier Developments,Everyone 10+
Lalaloopsy,DS,2011,Simulation,Activision,0.51,0.1,0.0,0.06,0.66,,,,,Activision,Everyone
Jikkyou World Soccer 2000 Final Edition,PS2,2000,Sports,Konami Digital Entertainment,0.0,0.0,0.66,0.0,0.66,,,,,Unknown,Unknown
Madagascar,GC,2005,Platform,Activision,0.52,0.13,0.0,0.02,0.66,70.0,21,,,Toys for Bob,Everyone 10+
Castlevania: Lords of Shadow,X360,2010,Action,Konami Digital Entertainment,0.42,0.17,0.01,0.05,0.66,83.0,70,7.8,237,Mercury Steam,Mature
Hidden Objects: Mystery Stories,DS,2009,Adventure,GSP,0.18,0.43,0.0,0.05,0.66,,,,,Unknown,Unknown
NHL 10,X360,2009,Sports,Electronic Arts,0.51,0.1,0.0,0.06,0.66,88.0,52,8.4,71,EA Canada,Everyone 10+
100 Classic Books,DS,2008,Misc,Nintendo,0.12,0.52,0.0,0.02,0.66,70.0,7,6.0,12,Genius Sonority Inc.,Unknown
Puzzler Brain Games,Wii,2012,Puzzle,Namco Bandai Games,0.0,0.0,0.66,0.0,0.66,,,,,Unknown,Unknown
TV Show King Party,Wii,2008,Puzzle,Ubisoft,0.18,0.4,0.0,0.08,0.66,,,,,Gameloft,Teen
Dragon Quest Monsters: Caravan Heart,GBA,2003,Role-Playing,Enix Corporation,0.0,0.0,0.64,0.02,0.66,,,,,Unknown,Unknown
Strawberry Shortcake: Summertime Adventure,GBA,2004,Adventure,Majesco Entertainment,0.47,0.18,0.0,0.01,0.66,,,,,Gorilla Systems,Everyone
Street Fighter Anniversary Collection,PS2,2004,Fighting,Capcom,0.32,0.25,0.0,0.08,0.66,78.0,30,8.7,20,Capcom,Teen
Legend of Legaia,PS,1998,Role-Playing,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.66,,,,,Unknown,Unknown
NHL 13,X360,2012,Sports,Electronic Arts,0.51,0.1,0.0,0.05,0.66,83.0,44,6.6,86,Electronic Arts,Everyone 10+
Napoleon: Total War,PC,2010,Strategy,Sega,0.02,0.53,0.0,0.12,0.66,81.0,56,7.9,515,Creative Assembly,Teen
Metro: Last Light,PS4,2014,Action,Deep Silver,0.22,0.3,0.04,0.1,0.66,,,,,Unknown,Unknown
Madden NFL 10,PSP,2009,Sports,Electronic Arts,0.5,0.08,0.0,0.08,0.66,,,7.8,5,EA Tiburon,Everyone
Rayman Legends,WiiU,2013,Platform,Ubisoft,0.25,0.33,0.03,0.05,0.66,92.0,35,8.7,465,Ubisoft Montpellier,Everyone 10+
The Sims: Bustin' Out,GC,2003,Simulation,Electronic Arts,0.43,0.2,0.0,0.03,0.66,81.0,30,9.0,15,Maxis,Teen
BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,0.29,0.3,0.0,0.07,0.66,94.0,68,8.5,7322,Irrational Games,Mature
Keystone Kapers,2600,1982,Action,Activision,0.62,0.04,0.0,0.01,0.66,,,,,Unknown,Unknown
Ratatouille,PSP,2007,Action,THQ,0.22,0.27,0.0,0.16,0.66,64.0,7,7.1,7,Locomotive Games,Everyone
Lollipop Chainsaw,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.27,0.2,0.11,0.08,0.66,67.0,37,7.1,199,Grasshopper Manufacture,Mature
Tom Clancy's EndWar,PS3,2008,Strategy,Ubisoft,0.33,0.22,0.01,0.1,0.66,76.0,33,6.6,42,Ubisoft Shanghai,Teen
Shrek: Hassle at the Castle,GBA,2002,Action,TDK Mediactive,0.47,0.17,0.0,0.01,0.66,71.0,7,7.4,5,TOSE,Everyone
Suikoden IV,PS2,2004,Role-Playing,Konami Digital Entertainment,0.17,0.13,0.3,0.05,0.66,63.0,44,7.3,47,KCET,Teen
Gods Eater Burst,PSP,2010,Action,Namco Bandai Games,0.03,0.0,0.62,0.0,0.66,71.0,30,7.9,35,"Shift, Bandai Namco Games",Teen
Fist of the North Star: Ken's Rage,PS3,2010,Action,Ubisoft Annecy,0.06,0.03,0.55,0.01,0.66,60.0,30,6.9,29,"Koei, Omega Force",Mature
Plants vs. Zombies: Garden Warfare,PS3,2014,Shooter,Electronic Arts,0.22,0.32,0.01,0.11,0.66,,,7.8,24,PopCap,Everyone 10+
Disney's Kim Possible 2: Drakken's Demise,GBA,2004,Platform,Disney Interactive Studios,0.47,0.17,0.0,0.01,0.66,77.0,8,,,Artificial Mind and Movement,Everyone
One Piece: Pirate Warriors 2,PS3,2013,Action,Namco Bandai Games,0.0,0.19,0.42,0.05,0.66,71.0,35,7.8,61,Omega Force,Teen
Um Jammer Lammy,PS,1998,Misc,Sony Computer Entertainment,0.12,0.08,0.41,0.04,0.66,,,,,Unknown,Unknown
Brothers In Arms: Road to Hill 30,XB,2005,Shooter,Ubisoft,0.49,0.14,0.0,0.02,0.66,88.0,64,8.0,69,Gearbox Software,Mature
LEGO Harry Potter: Years 5-7,DS,,Action,Warner Bros. Interactive Entertainment,0.34,0.25,0.0,0.07,0.66,69.0,4,,,Traveller's Tales,Everyone 10+
Taiko no Tatsujin DS: Touch de Dokodon!,DS,2007,Misc,Namco Bandai Games,0.0,0.0,0.66,0.0,0.66,,,,,Unknown,Unknown
Animaniacs Ten Pin Alley,PS,1998,Sports,ASC Games,0.36,0.25,0.0,0.04,0.66,,,,,Unknown,Unknown
LEGO Jurassic World,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.38,0.22,0.0,0.06,0.65,70.0,17,6.7,44,TT Games,Everyone 10+
Kung Fu Panda,PS2,2008,Action,Activision,0.24,0.0,0.0,0.41,0.65,73.0,6,8.6,5,Xpec,Everyone 10+
Freedom Wars,PSV,2014,Role-Playing,Sony Computer Entertainment,0.15,0.1,0.32,0.08,0.65,73.0,39,8.3,265,"Dimps Corporation, SCE Japan Studio",Teen
Rocksmith 2014,PC,2013,Misc,Ubisoft,0.36,0.24,0.0,0.06,0.65,,,,,Unknown,Unknown
Club Penguin: Elite Penguin Force - Herbert's Revenge,DS,2010,Adventure,Disney Interactive Studios,0.39,0.21,0.0,0.06,0.65,,,,,Unknown,Unknown
Ratchet & Clank: Into the Nexus,PS3,2013,Shooter,Sony Computer Entertainment,0.3,0.25,0.0,0.1,0.65,,,,,Unknown,Unknown
Shaun White Snowboarding,PS3,2008,Sports,Ubisoft,0.31,0.23,0.01,0.1,0.65,63.0,30,6.3,26,Ubisoft Montreal,Teen
Radiata Stories,PS2,2005,Role-Playing,Square Enix,0.18,0.14,0.29,0.05,0.65,74.0,36,9.0,54,Tri-Ace,Teen
The Biggest Loser: Challenge,Wii,2010,Sports,THQ,0.48,0.12,0.0,0.05,0.65,,,,,Blitz Games Studios,Everyone
Peppa Pig: Fun and Games,DS,2010,Misc,Ubisoft,0.0,0.57,0.0,0.09,0.65,,,,,Unknown,Unknown
F-Zero GX,GC,2003,Racing,Nintendo,0.41,0.11,0.12,0.02,0.65,89.0,50,8.5,161,Amusement Vision,Teen
Disney's Chicken Little,PS2,2005,Platform,Disney Interactive Studios,0.32,0.25,0.0,0.08,0.65,60.0,20,8.9,7,Avalanche Software,Everyone 10+
Scene It? Box Office Smash,X360,2008,Misc,Microsoft Game Studios,0.33,0.25,0.0,0.07,0.65,76.0,32,7.4,25,"Krome Studios, Screenlife Games",Teen
Yoshi Topsy-Turvy,GBA,2004,Platform,Nintendo,0.25,0.09,0.3,0.01,0.65,60.0,23,6.6,5,Artoon,Everyone
Monster Jam: Maximum Destruction,PS2,2002,Racing,Ubisoft,0.32,0.25,0.0,0.08,0.65,47.0,11,6.0,6,Ubisoft,Teen
Cartoon Network Block Party / Cartoon Network Speedway Double Pack,GBA,2005,Misc,THQ,0.47,0.17,0.0,0.01,0.65,,,,,Unknown,Unknown
Tiger Woods PGA Tour 09,PS3,2008,Sports,Electronic Arts,0.34,0.22,0.0,0.1,0.65,82.0,34,7.2,9,EA Tiburon,Everyone
World of Dragon Warrior - Torneko: The Last Hope,PS,1999,Role-Playing,Enix Corporation,0.02,0.01,0.58,0.04,0.65,,,,,Unknown,Unknown
Mortal Kombat,PSV,2012,Fighting,Warner Bros. Interactive Entertainment,0.42,0.13,0.0,0.1,0.65,85.0,51,7.8,192,NetherRealm Studios,Mature
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PSP,2007,Action,Activision,0.23,0.26,0.0,0.16,0.65,,,,,Unknown,Unknown
Tiger Woods PGA Tour 09,X360,2008,Sports,Electronic Arts,0.35,0.23,0.0,0.07,0.65,84.0,41,7.8,29,EA Tiburon,Everyone
Advance Wars 2: Black Hole Rising,GBA,2003,Strategy,Nintendo,0.47,0.17,0.0,0.01,0.65,89.0,34,9.4,97,Intelligent Systems,Everyone
Wario: Master of Disguise,DS,2007,Platform,Nintendo,0.28,0.02,0.33,0.03,0.65,60.0,35,7.4,19,Suzak,Everyone 10+
Centipede,PS,1998,Shooter,Atari,0.36,0.25,0.0,0.04,0.65,,,,,Unknown,Unknown
The Last Story,Wii,2011,Role-Playing,Nintendo,0.3,0.13,0.18,0.04,0.65,80.0,61,8.4,179,"Mistwalker, Artoon",Teen
Drakengard,PS2,2003,Role-Playing,Square Enix,0.19,0.15,0.26,0.05,0.65,63.0,55,9.1,88,Cavia Inc.,Mature
SingStar Pop Hits,PS2,2007,Misc,Sony Computer Entertainment,0.0,0.5,0.0,0.15,0.65,,,,,Unknown,Unknown
Kung-Fu Master,2600,1987,Action,Activision,0.6,0.04,0.0,0.01,0.65,,,,,Unknown,Unknown
Champions: Return to Arms,PS2,2005,Role-Playing,Sony Online Entertainment,0.32,0.25,0.0,0.08,0.65,77.0,48,8.8,43,Snowblind Studios,Teen
Harry Potter and the Goblet of Fire,PS2,2005,Action,Electronic Arts,0.54,0.02,0.0,0.09,0.65,68.0,29,6.7,48,Electronic Arts,Everyone 10+
Toy Story 3: The Video Game,PSP,2010,Action,Disney Interactive Studios,0.27,0.24,0.0,0.14,0.65,,,,,Unknown,Unknown
SingStar R&B,PS2,2007,Misc,Sony Computer Entertainment,0.0,0.05,0.0,0.6,0.65,,,,,Unknown,Unknown
Mary-Kate and Ashley: Magical Mystery Mall,PS,2000,Adventure,Acclaim Entertainment,0.36,0.24,0.0,0.04,0.65,,,,,Unknown,Unknown
MX vs. ATV Untamed,PSP,2007,Racing,THQ,0.35,0.18,0.0,0.12,0.65,59.0,12,,,Rainbow Studios,Everyone
Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014,Action,Disney Interactive Studios,0.37,0.22,0.0,0.06,0.65,,,,,Unknown,Unknown
Tiger Woods PGA Tour 10,X360,2009,Sports,Electronic Arts,0.39,0.2,0.0,0.06,0.65,80.0,51,6.9,20,EA Tiburon,Everyone
007: Quantum of Solace,Wii,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,54.0,11,7.5,26,Treyarch,Teen
Super Robot Taisen Impact,PS2,2002,Strategy,Banpresto,0.0,0.0,0.65,0.0,0.65,,,,,Unknown,Unknown
Wall-E,PSP,2008,Platform,THQ,0.29,0.22,0.0,0.14,0.65,64.0,8,,,Heavy Iron Studios,Everyone
Farming Simulator 17,PC,2016,Simulation,Focus Home Interactive,0.03,0.58,0.0,0.04,0.65,64.0,5,8.0,20,Giants Software,Everyone
Crafting Mama,DS,2010,Simulation,505 Games,0.39,0.19,0.01,0.05,0.65,,,,,Cooking Mama Limited,Everyone
Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,DS,2008,Misc,Namco Bandai Games,0.0,0.0,0.65,0.0,0.65,,,,,Unknown,Unknown
God of War III,PS4,2015,Action,Sony Computer Entertainment,0.24,0.29,0.01,0.1,0.65,,,,,Unknown,Unknown
Borderlands 2,PSV,2014,Shooter,Take-Two Interactive,0.32,0.16,0.01,0.15,0.64,64.0,31,7.6,358,Iron Galaxy Studios,Mature
Harry Potter and the Half-Blood Prince,PS2,2009,Action,Electronic Arts,0.13,0.07,0.0,0.44,0.64,,,8.3,13,EA Bright Light,Everyone 10+
Crash Bandicoot Purple: Ripto's Rampage,GBA,2004,Platform,Vivendi Games,0.46,0.17,0.0,0.01,0.64,67.0,23,6.6,12,Vicarious Visions,Everyone
Assassin's Creed IV: Black Flag,PC,2013,Action,Ubisoft,0.22,0.38,0.0,0.05,0.64,84.0,10,7.7,1470,Ubisoft,Mature
Need For Speed: Undercover,Wii,2008,Racing,Electronic Arts,0.27,0.31,0.0,0.07,0.64,54.0,12,6.2,29,Exient Entertainment,Teen
Spyro: A Hero's Tail,PS2,2004,Platform,Vivendi Games,0.32,0.25,0.0,0.08,0.64,60.0,16,8.0,44,Eurocom Entertainment Software,Everyone
Crash: Twinsanity,PS2,2004,Platform,Vivendi Games,0.32,0.25,0.0,0.08,0.64,64.0,38,8.0,129,Traveller's Tales,Everyone
The LEGO Movie Videogame,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.23,0.03,0.05,0.64,68.0,5,7.7,25,TT Games,Everyone 10+
